window,delta_hat,sigma_dhat,rL,rF,cntL,cntF,degrading,state
0,0,0,0,0,476,473,0,TRUSTED
1,0,0,0,0,524,502,0,TRUSTED
2,0,0,0,0,514,501,0,TRUSTED
3,0,0,0,0,456,492,0,TRUSTED
4,0,0,0,0,515,500,0,TRUSTED
5,-0.00211416,0.00211193,0,0.00211416,489,473,0,GATED
6,0,0,0,0,496,489,0,GATED
7,0,0,0,0,492,472,0,GATED
8,0,0,0,0,503,491,0,GATED
9,0,0,0,0,469,511,0,GATED
10,0,0,0,0,486,493,0,GATED
11,0,0,0,0,499,491,0,PROBING
12,0,0,0,0,503,479,0,GATED
13,0,0,0,0,490,518,0,GATED
14,0.408863,0.02281,0.417355,0.00849257,484,471,0,GATED
15,0.904423,0.0134308,0.918367,0.0139442,490,502,0,GATED
16,0.998106,0.00189215,0.998106,0,528,499,0,GATED
17,0.981366,0.00615304,1,0.0186335,480,483,0,GATED
18,0.983875,0.00567659,0.989899,0.0060241,495,498,0,GATED
19,0.98,0.00626099,0.98,0,500,479,0,GATED
20,0.867018,0.0154434,0.879518,0.0125,498,480,0,GATED
21,0.605099,0.0222231,0.611336,0.00623701,494,481,0,GATED
22,0,0,0,0,501,503,0,GATED
23,0.341317,0.0211835,0.341317,0,501,489,0,GATED
24,0.291939,0.0212214,0.291939,0,459,523,0,PROBING
25,0.14664,0.0159643,0.14664,0,491,485,0,PROBING
26,0.0851485,0.0124199,0.0851485,0,505,486,0,PROBING
27,0.0454545,0.00926002,0.0454545,0,506,485,0,GATED
28,0.0168776,0.00591658,0.0168776,0,474,506,0,GATED
29,0.138948,0.0210214,0.200803,0.0618557,498,485,0,GATED
30,-0.308283,0.0300824,0.352941,0.661224,510,490,0,GATED
31,-0.479588,0.0279424,0.267516,0.747104,471,518,0,GATED
32,-0.558997,0.026276,0.147368,0.706366,475,487,0,GATED
33,-0.721977,0.0212537,0.061753,0.78373,502,504,0,GATED
34,-0.721172,0.0214959,0.0456349,0.766807,504,476,0,GATED
35,-0.738989,0.0200864,0.0228216,0.761811,482,508,0,GATED
36,-0.251914,0.0308915,0.314402,0.566316,493,475,0,GATED
37,0.903002,0.0134768,0.916836,0.013834,493,506,0,GATED
38,0.973384,0.00701811,0.973384,0,526,498,0,GATED
39,0.987805,0.00494819,1,0.0121951,476,492,0,GATED
40,0.987578,0.00503981,1,0.0124224,503,483,0,GATED
41,0.97,0.00762889,0.97,0,500,478,0,GATED
42,0.791379,0.0193422,0.850202,0.0588235,494,476,0,GATED
43,-0.0679484,0.0306839,0.344423,0.412371,511,485,0,GATED
44,-0.216948,0.029973,0.268657,0.485605,469,521,0,GATED
45,-0.195518,0.0269568,0.146751,0.342268,477,485,0,GATED
46,-0.319139,0.0240773,0.062,0.381139,500,509,0,GATED
47,-0.315484,0.0239084,0.0452756,0.360759,508,474,0,GATED
48,-0.348759,0.0224569,0.0230608,0.37182,477,511,0,GATED
49,0.0574067,0.0290902,0.31643,0.259023,493,471,0,GATED
50,0.867597,0.0157125,0.917004,0.0494071,494,506,0,GATED
51,0.943264,0.0103882,0.973384,0.0301205,526,498,0,PROBING
52,0.946939,0.0101263,1,0.0530612,481,490,0,PROBING
53,-0.0589109,0.0310368,0.365269,0.42418,501,488,0,GATED
54,-0.19205,0.030346,0.288793,0.480843,464,522,0,GATED
55,-0.223079,0.0267608,0.137577,0.360656,487,488,0,GATED
