window,delta_hat,sigma_dhat,rL,rF,cntL,cntF,degrading,state
0,0,0,0,0,476,473,0,TRUSTED
1,0,0,0,0,499,534,0,TRUSTED
2,0,0,0,0,516,516,0,TRUSTED
3,0,0,0,0,501,528,0,TRUSTED
4,0,0,0,0,484,479,0,TRUSTED
5,0.00194553,0.00194363,0.00194553,0,514,501,0,GATED
6,0,0,0,0,514,477,0,GATED
7,0.0021097,0.00210748,0.0021097,0,474,507,0,GATED
8,0,0,0,0,513,538,0,GATED
9,0,0,0,0,496,461,0,GATED
10,0,0,0,0,510,498,0,GATED
11,0,0,0,0,511,462,0,PROBING
12,0,0,0,0,544,494,0,GATED
13,0,0,0,0,523,487,0,GATED
14,0.0175112,0.0141291,0.0621359,0.0446247,515,493,0,GATED
15,0.00505061,0.0169672,0.0787746,0.073724,457,529,0,GATED
16,0.0261831,0.015794,0.0769231,0.05074,481,473,0,GATED
17,-0.0238687,0.0192024,0.0877193,0.111588,513,466,0,GATED
18,0.00695602,0.0173683,0.084507,0.077551,497,490,0,GATED
19,-0.0355931,0.0151835,0.0440882,0.0796813,499,502,0,GATED
20,-0.0250522,0.0321911,0.446764,0.471816,479,479,0,GATED
21,-0.054063,0.0276936,0.233663,0.287726,505,497,0,GATED
22,0,0,0,0,511,471,0,GATED
23,0.00291067,0.0228589,0.154004,0.151093,487,503,0,GATED
24,-0.0170829,0.0228313,0.152542,0.169625,531,507,0,PROBING
25,-0.018596,0.0163916,0.0660194,0.0846154,515,520,1,GATED
26,0.0375103,0.0129165,0.062753,0.0252427,494,515,1,GATED
27,0.0111853,0.0106013,0.033543,0.0223577,477,492,1,GATED
28,0.00934442,0.00877682,0.025,0.0156556,520,511,1,GATED
29,0.0374997,0.0188892,0.116832,0.0793319,505,479,1,GATED
30,0.0726495,0.0308487,0.686722,0.614072,482,469,1,GATED
31,0.0145941,0.0296794,0.672381,0.657787,525,488,1,GATED
32,0.0107769,0.0317228,0.625984,0.615207,508,434,1,GATED
33,0.0687096,0.0286666,0.736742,0.668033,528,488,1,GATED
34,0.0384973,0.0282098,0.755889,0.717391,467,506,1,GATED
35,-0.00347239,0.0293626,0.689441,0.692913,483,508,1,GATED
36,0.0326563,0.0319727,0.571734,0.539078,467,499,1,GATED
37,-0.0189697,0.0115791,0.0238569,0.0428266,503,467,1,GATED
38,0.0112907,0.0147719,0.0641283,0.0528376,499,511,1,GATED
39,0.0129656,0.0167943,0.0821355,0.06917,487,506,1,GATED
40,0.0266169,0.013893,0.0627615,0.0361446,478,498,1,GATED
41,0.00925886,0.0111963,0.0357895,0.0265306,475,490,1,GATED
42,0.0185201,0.0226788,0.15942,0.1409,483,511,1,GATED
43,-0.0221821,0.0306039,0.34556,0.367742,518,465,1,GATED
44,-0.0135329,0.031318,0.474609,0.488142,512,506,1,GATED
45,0.109731,0.0309013,0.45679,0.347059,486,510,1,GATED
46,0.00299805,0.0310616,0.426,0.423002,500,513,1,GATED
47,0.0513161,0.0311427,0.447316,0.396,503,500,1,GATED
48,-0.0418535,0.0305803,0.362573,0.404427,513,497,1,GATED
49,0.0398393,0.0293307,0.331337,0.291498,501,494,1,PROBING
50,0.0278007,0.0170922,0.0952381,0.0674374,504,519,1,GATED
51,0.00628486,0.0203967,0.124542,0.118257,546,482,1,GATED
52,0.00059405,0.0188743,0.100791,0.100196,506,509,1,GATED
53,0.0662647,0.0311447,0.429134,0.362869,508,474,1,GATED
54,0.00985056,0.03139,0.481625,0.471774,517,496,1,GATED
55,0.033088,0.0327378,0.45733,0.424242,457,462,0,GATED
56,0.138496,0.031204,0.547325,0.408829,486,521,0,GATED
57,-0.0680319,0.0314059,0.424,0.492032,500,502,0,GATED
58,0.00990983,0.0310294,0.445298,0.435388,521,503,0,GATED
59,0.0608521,0.031093,0.42029,0.359438,483,498,0,GATED
60,-0.018964,0.0261137,0.21308,0.232044,474,543,0,GATED
61,-0.0428933,0.0279325,0.244726,0.287619,474,525,0,GATED
62,-0.054306,0.0291855,0.271605,0.325911,486,494,0,GATED
63,0.000271978,0.0159121,0.0690979,0.0688259,521,494,0,GATED
64,-0.0101583,0.00958154,0.0181818,0.0283401,495,494,0,GATED
65,0.000390774,0.0154208,0.0623742,0.0619835,497,484,0,GATED
66,0.00203641,0.023576,0.16383,0.161793,470,513,0,GATED
67,0.0546187,0.0297128,0.38403,0.329412,526,510,0,GATED
68,-0.00384303,0.0323164,0.441501,0.445344,453,494,0,GATED
69,-0.0429862,0.0325472,0.417191,0.460177,477,452,0,GATED
70,0.027822,0.0296521,0.369781,0.341959,503,541,0,GATED
71,0.092201,0.0308691,0.432323,0.340122,495,491,0,GATED
72,0.0669366,0.0304136,0.394004,0.327068,467,532,0,GATED
73,0.0336636,0.0270436,0.260194,0.226531,515,490,0,GATED
74,0.0222741,0.0250292,0.210953,0.188679,493,530,0,PROBING
75,0.0324496,0.031064,0.572491,0.540041,538,487,0,GATED
76,0.0514141,0.0300557,0.664622,0.613208,489,530,0,GATED
77,-0.0135129,0.031207,0.560784,0.574297,510,498,0,GATED
78,0.0138468,0.0209188,0.882474,0.868627,485,510,0,GATED
79,-0.0197811,0.0129899,0.946535,0.966316,505,475,0,GATED
80,0.0127601,0.0151284,0.942857,0.930097,525,515,0,GATED
81,-0.061696,0.0260739,0.742188,0.803883,512,515,0,GATED
